gene_id,Peromyscus_F_1,Peromyscus_F_2,Peromyscus_M_1,Peromyscus_M_2,Chromosome,species
Pax9,6.769335773,6.609371129,5.438551753,3.960111071,Autosome,Peromyscus
Slc25a21,0.826960469,0.785985011,0.901505147,1.051359253,Autosome,Peromyscus
LOC114693412,1.813442587,1.802899563,1.899465673,3.270549638,Autosome,Peromyscus
LOC119089053,0.572921621,1.139181518,1.371654692,1.918922603,Autosome,Peromyscus
Mipol1,0.199143666,0.29487259,0.319542609,0.467412572,Autosome,Peromyscus
LOC114693389,5.397278679,4.734617547,3.325474028,4.580710473,Autosome,Peromyscus
Foxa1,22.68543423,23.40902456,20.40215698,10.51047409,Autosome,Peromyscus
Ttc6,0.90306698,0.8847099,0.888368365,1.107584547,Autosome,Peromyscus
LOC114693391,0.574845468,2.857517105,4.214798244,7.257149769,Autosome,Peromyscus
LOC114704046,0.655394258,0,2.745935062,1.773008533,Autosome,Peromyscus
LOC114704049,0.337174976,0.454402152,0.706338648,0.891874386,Autosome,Peromyscus
LOC114704050,0.168909437,0.211734584,0.09230707,0.059601272,Autosome,Peromyscus
LOC114704067,0,0,0,0,Autosome,Peromyscus
Gemin2,0.07554677,0.125179258,0,0.113540705,Autosome,Peromyscus
Trappc6b,0.127950307,0.021201071,0.089346534,0.115379398,Autosome,Peromyscus
Pnn,0.050184387,0.099785248,0.052564951,0.090507706,Autosome,Peromyscus
Mia2,0.089697242,0.089175759,0.150323442,0.226476977,Autosome,Peromyscus
LOC114704068,0,0,0,0,Autosome,Peromyscus
Fbxo33,0.123352774,0.122635624,0.113053657,0.125137762,Autosome,Peromyscus
LOC114704058,1.078016248,1.607623288,0.564576699,2.916308746,Autosome,Peromyscus
LOC114704064,0.650414059,0.64663267,0.340633662,0.879767912,Autosome,Peromyscus
LOC114706811,0,0,0,0,Autosome,Peromyscus
LOC114706810,3.596407148,0,0,0,Autosome,Peromyscus
LOC114706804,0,0.362731711,0,0.658013397,Autosome,Peromyscus
LOC114706805,0,0,0,0,Autosome,Peromyscus
Lrfn5,0.420397757,0.416455599,0.369317327,0.379094365,Autosome,Peromyscus
LOC114706803,0,0,0.80624802,0,Autosome,Peromyscus
LOC114706802,0.577560662,0.287101415,0.604958028,0.781224408,Autosome,Peromyscus
LOC114706800,0.083295533,0.082811268,0.174493538,0.075111883,Autosome,Peromyscus
LOC114706809,0.667663729,0.995673082,1.398670512,1.20413372,Autosome,Peromyscus
LOC114684802,2.488211922,0,5.212487197,0,Autosome,Peromyscus
Fscb,0.438946103,0.763689764,0.344826076,0.197910183,Autosome,Peromyscus
LOC119088977,0.244826744,0.228190656,0.208357849,0.289764454,Autosome,Peromyscus
LOC114684744,0,0,0,0,Autosome,Peromyscus
LOC114684571,0.557800522,0.277278786,0.438195405,0.37724815,Autosome,Peromyscus
C14H14orf28,0.181248259,0.270291771,0.094923007,0.040860228,Autosome,Peromyscus
Klhl28,0.127638667,0.090640428,0.133693379,0.098655752,Autosome,Peromyscus
Togaram1,0.058161601,0.089947605,0.033844764,0.064102279,Autosome,Peromyscus
LOC114684430,0,1.97899673,0,0,Autosome,Peromyscus
Prpf39,0.06859907,0.017050062,0.05388987,0.061859324,Autosome,Peromyscus
LOC114684790,0,0,0,0,Autosome,Peromyscus
Fkbp3,0.369529879,0.056520231,0.208416398,0.153795772,Autosome,Peromyscus
Fancm,0.096978244,0.051915462,0.046882402,0.047088618,Autosome,Peromyscus
LOC114684759,0,0,0,0,Autosome,Peromyscus
Mis18bp1,0.034666739,0.068930386,0.024207468,0.062521577,Autosome,Peromyscus
Rpl10l,0.482494307,0.479689173,0.252691037,0.652635046,Autosome,Peromyscus
LOC114684733,0,0.956144487,0,3.468987482,Autosome,Peromyscus
Mdga2,0.240519416,0.252223605,0.239274821,0.321866906,Autosome,Peromyscus
LOC114684613,0.994128805,0.658899414,0,0.298819092,Autosome,Peromyscus
LOC114684778,0,0,0,0,Autosome,Peromyscus
LOC114684628,1.826990184,0,0,0.823745693,Autosome,Peromyscus
LOC114684621,1.480873531,1.104198002,1.551120758,2.336915226,Autosome,Peromyscus
LOC114684725,0,0,0,0,Autosome,Peromyscus
LOC114684809,0,2.275317096,0,0,Autosome,Peromyscus
LOC114684717,0,0,0,0,Autosome,Peromyscus
LOC114684560,0.351758179,0.349713121,0.245629534,0.105732838,Autosome,Peromyscus
LOC114684708,0.40489352,0,0.424100188,0,Autosome,Peromyscus
LOC114684814,0,0,0,0,Autosome,Peromyscus
LOC114684547,0.182193466,0.543402678,0.954180287,1.4786393,Autosome,Peromyscus
LOC114684531,1.259977774,0.417550831,0,1.893645031,Autosome,Peromyscus
LOC114684358,1.854701844,0.921959473,0.48567053,1.463420369,Autosome,Peromyscus
Rps29,0.856515912,3.12229971,0.897145895,1.802184124,Autosome,Peromyscus
Lrr1,0.2316495,0.115151366,0.161758737,0.27852042,Autosome,Peromyscus
Rpl36al,0.276111258,1.921541986,0.578417934,0.248983779,Autosome,Peromyscus
Mgat2,0.224128018,0.557062447,0.234759832,0.707377324,Autosome,Peromyscus
Dnaaf2,0.349202373,0.297576149,0.156757396,0.17993932,Autosome,Peromyscus
LOC119088978,0.041147241,0.163632073,0.215495577,0.037104592,Autosome,Peromyscus
Pole2,0.042638063,0.098910404,0.059547542,0.128163143,Autosome,Peromyscus
Klhdc1,0.249373248,0.276529988,0.391803905,0.467043372,Autosome,Peromyscus
LOC119089054,1.720739319,1.955126005,1.673624551,1.108342497,Autosome,Peromyscus
LOC119089055,1.066465115,1.166291369,2.010697777,0.865517996,Autosome,Peromyscus
Klhdc2,0,0,0.13793043,0.11874611,Autosome,Peromyscus
Nemf,0.061039127,0.053941562,0.056830756,0.061157926,Autosome,Peromyscus
LOC114684514,0.43090672,0.306001077,0.30089824,0.536597826,Autosome,Peromyscus
Arf6,0.219924178,0.10932279,0.115178289,0.099158494,Autosome,Peromyscus
LOC119089056,0.584661818,0,0.612396037,0.702959667,Autosome,Peromyscus
LOC119088979,0.184391405,0.366638774,0,0.166275251,Autosome,Peromyscus
LOC119088980,0.188388885,0.28094044,0.246656707,0.552109953,Autosome,Peromyscus
Vcpkmt,0,0.127447745,0,0.05779914,Autosome,Peromyscus
Sos2,0.030541724,0.069403794,0.068551096,0.078688713,Autosome,Peromyscus
LOC119089045,0.718878696,0.238233089,1.003972898,0.432166694,Autosome,Peromyscus
LOC119088981,0.196452812,0,0,0.354303289,Autosome,Peromyscus
LOC114684479,0,0.376368241,0.396527111,1.024126114,Autosome,Peromyscus
L2hgdh,0.106196638,0.145171441,0.111234218,0.23940748,Autosome,Peromyscus
LOC114684217,0,0.254400177,0,1.153736494,Autosome,Peromyscus
Dmac2l,0.046287308,0.138054606,0.169690531,0.125218967,Autosome,Peromyscus
Cdkl1,0.942889212,1.052527636,0.900983409,1.178419285,Autosome,Peromyscus
LOC119088982,0.564793732,0.842265187,0.591585482,1.27325918,Autosome,Peromyscus
